year,generation,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years
1985,Boomers,0.0,960.8400000000001,0.0,0.0,0.0,0.0
1985,G.I. Generation,0.0,0.0,0.0,0.0,1449.0599999999997,2350.4900000000007
1985,Generation X,809.2500000000003,0.0,0.0,51.559999999999995,0.0,0.0
1985,Silent,0.0,0.0,1190.6900000000003,0.0,0.0,0.0
1986,Boomers,0.0,1017.0100000000001,0.0,0.0,0.0,0.0
1986,G.I. Generation,0.0,0.0,0.0,0.0,1340.64,2276.37
1986,Generation X,782.6,0.0,0.0,40.46,0.0,0.0
1986,Silent,0.0,0.0,1122.7599999999998,0.0,0.0,0.0
1987,Boomers,0.0,1183.7199999999998,0.0,0.0,0.0,0.0
1987,G.I. Generation,0.0,0.0,0.0,0.0,1614.1500000000003,2549.1000000000004
1987,Generation X,808.6899999999999,0.0,0.0,52.35999999999999,0.0,0.0
1987,Silent,0.0,0.0,1337.4300000000003,0.0,0.0,0.0
1988,Boomers,0.0,1216.19,0.0,0.0,0.0,0.0
1988,G.I. Generation,0.0,0.0,0.0,0.0,1552.6200000000006,2508.690000000001
1988,Generation X,857.59,0.0,0.0,46.790000000000006,0.0,0.0
1988,Silent,0.0,0.0,1291.2499999999998,0.0,0.0,0.0
1989,Boomers,0.0,1266.5300000000002,0.0,0.0,0.0,0.0
1989,G.I. Generation,0.0,0.0,0.0,0.0,1664.04,2682.9299999999994
1989,Generation X,952.6900000000004,0.0,0.0,57.56000000000002,0.0,0.0
1989,Silent,0.0,0.0,1412.7900000000002,0.0,0.0,0.0
1990,Boomers,0.0,1581.93,0.0,0.0,0.0,0.0
1990,G.I. Generation,0.0,0.0,0.0,0.0,2004.5499999999993,3269.6200000000013
1990,Generation X,1166.74,0.0,0.0,67.08,0.0,0.0
1990,Silent,0.0,0.0,1788.8299999999992,0.0,0.0,0.0
1991,Boomers,0.0,1598.9099999999996,1862.260000000001,0.0,0.0,0.0
1991,G.I. Generation,0.0,0.0,0.0,0.0,0.0,3415.4100000000008
1991,Generation X,1267.92,0.0,0.0,0.0,0.0,0.0
1991,Millenials,0.0,0.0,0.0,72.73999999999997,0.0,0.0
1991,Silent,0.0,0.0,0.0,0.0,2103.82,0.0
1992,Boomers,0.0,1644.3999999999996,2023.9799999999993,0.0,0.0,0.0
1992,G.I. Generation,0.0,0.0,0.0,0.0,0.0,3367.77
1992,Generation X,1194.25,0.0,0.0,0.0,0.0,0.0
1992,Millenials,0.0,0.0,0.0,75.76999999999998,0.0,0.0
1992,Silent,0.0,0.0,0.0,0.0,2222.710000000001,0.0
1993,Boomers,0.0,1715.8200000000002,2104.5499999999997,0.0,0.0,0.0
1993,G.I. Generation,0.0,0.0,0.0,0.0,0.0,3411.780000000001
1993,Generation X,1213.0300000000004,0.0,0.0,0.0,0.0,0.0
1993,Millenials,0.0,0.0,0.0,100.92999999999998,0.0,0.0
1993,Silent,0.0,0.0,0.0,0.0,2244.1800000000007,0.0
1994,Boomers,0.0,1700.0199999999993,2190.509999999999,0.0,0.0,0.0
1994,G.I. Generation,0.0,0.0,0.0,0.0,0.0,3872.0499999999997
1994,Generation X,1290.33,0.0,0.0,0.0,0.0,0.0
