,country,year,suicides_rate,population,gdp_per_capita
0,Albania,1987,31.849999999999998,2709600,9552
1,Albania,1988,32.46,2764300,9228
2,Albania,1989,33.4,2803100,9996
3,Albania,1992,18.000000000000004,2822500,3012
4,Albania,1993,32.56,2807300,5244
5,Albania,1994,32.18000000000001,2849300,8364
6,Albania,1995,40.550000000000004,2903400,10020
7,Albania,1996,43.62,2940200,13524
8,Albania,1997,77.43,2977300,9516
9,Albania,1998,66.52,3012700,10788
10,Albania,1999,69.81,3029700,13524
11,Albania,2000,30.699999999999996,2796300,15588
12,Albania,2001,50.61999999999999,2799349,17412
13,Albania,2002,62.510000000000005,2818839,18876
14,Albania,2003,58.60000000000001,2843929,24252
15,Albania,2004,65.39,2874991,30528
16,Albania,2005,0.0,2783320,35172
17,Albania,2006,0.0,2780176,38820
18,Albania,2007,65.85,2770344,46356
19,Albania,2008,71.05000000000001,2757059,56064
20,Albania,2009,0.0,2745735,52644
21,Albania,2010,41.66,2736025,52308
22,Antigua and Barbuda,1985,0.0,62574,46200
23,Antigua and Barbuda,1986,0.0,61270,56880
24,Antigua and Barbuda,1987,0.0,60261,67140
25,Antigua and Barbuda,1988,0.0,59564,80316
26,Antigua and Barbuda,1989,0.0,59238,88884
27,Antigua and Barbuda,1990,17.24,59334,92928
28,Antigua and Barbuda,1991,0.0,60394,95712
29,Antigua and Barbuda,1992,0.0,61741,97044
30,Antigua and Barbuda,1993,15.0,63315,101436
31,Antigua and Barbuda,1994,0.0,65044,108744
32,Antigua and Barbuda,1995,0.0,66846,103632
33,Antigua and Barbuda,1998,0.0,72225,120936
34,Antigua and Barbuda,1999,0.0,73832,124536
35,Antigua and Barbuda,2000,39.97,75326,132252
36,Antigua and Barbuda,2001,19.45,76497,125616
37,Antigua and Barbuda,2002,0.0,77588,125988
38,Antigua and Barbuda,2003,27.82,78658,130536
39,Antigua and Barbuda,2004,36.06,79722,138420
40,Antigua and Barbuda,2005,0.0,80809,151788
41,Antigua and Barbuda,2006,0.0,81973,169368
42,Antigua and Barbuda,2007,7.98,83131,189300
43,Antigua and Barbuda,2008,0.0,84273,194856
44,Antigua and Barbuda,2009,0.0,85405,172020
45,Antigua and Barbuda,2012,0.0,88703,163884
46,Antigua and Barbuda,2013,0.0,89779,159444
47,Antigua and Barbuda,2014,0.0,90837,169116
48,Antigua and Barbuda,2015,15.62,91889,178236
49,Argentina,1985,134.47000000000003,27090800,39168
50,Argentina,1986,152.90000000000003,27244400,48864
51,Argentina,1987,144.98,27599400,48312
52,Argentina,1988,146.24,28308000,53496
53,Argentina,1989,138.93,28702000,32040
54,Argentina,1990,134.89999999999998,29091100,58308
55,Argentina,1991,119.23999999999998,29623000,76848
56,Argentina,1992,126.86000000000003,30045400,91380
57,Argentina,1993,134.77,30477500,93216
58,Argentina,1994,122.05,30911200,99936
59,Argentina,1995,119.97,31345400,98784
60,Argentina,1996,118.03,31780700,102756
61,Argentina,1997,111.39999999999998,32333781,108684
62,Argentina,1998,116.92999999999998,32757259,109512
63,Argentina,1999,117.19,33174862,102552
64,Argentina,2000,131.39,33585533,101544
65,Argentina,2001,143.55999999999997,34010946,94800
66,Argentina,2002,139.42,34407507,34080
67,Argentina,2003,146.29,34785907,44016
68,Argentina,2004,131.05999999999997,35162945,56196
69,Argentina,2005,128.18,35550617,67080
70,Argentina,2006,128.21999999999997,35918886,77700
71,Argentina,2007,118.35000000000004,36315492,95016
72,Argentina,2008,118.10999999999999,36733520,118116
73,Argentina,2009,107.32000000000001,37158001,107532
74,Argentina,2010,111.24000000000001,37578454,135276
75,Argentina,2011,105.86999999999998,38015739,167352
76,Argentina,2012,119.81999999999998,38441778,170436
77,Argentina,2013,103.42,38859125,170472
78,Argentina,2014,111.35,39276555,160800
79,Argentina,2015,112.13000000000001,39699624,179772
80,Armenia,1990,41.12,2983700,9072
81,Armenia,1991,45.87000000000001,3230800,7680
82,Armenia,1992,40.86000000000001,3308700,4620
83,Armenia,1993,51.050000000000004,3366600,4284
84,Armenia,1994,66.73,3402500,4644
85,Armenia,1995,51.78999999999999,3443200,5112
86,Armenia,1996,37.050000000000004,3486300,5496
87,Armenia,1997,32.23,3526700,5580
88,Armenia,1998,27.419999999999998,3558000,6384
89,Armenia,1999,24.68,3580700,6180
90,Armenia,2000,34.300000000000004,3606500,6360
91,Armenia,2001,29.78,3610516,7044
92,Armenia,2002,38.070000000000014,3014844,9456
93,Armenia,2003,33.43000000000001,3024366,11136
94,Armenia,2006,43.67,2764396,27720
95,Armenia,2007,39.019999999999996,2735313,40392
96,Armenia,2008,35.15,3045391,45948
97,Armenia,2009,33.7,2689695,38580
98,Armenia,2010,40.41000000000001,2676225,41520
99,Armenia,2011,32.980000000000004,2670366,45576
100,Armenia,2012,36.57000000000001,2814300,45276
101,Armenia,2013,37.480000000000004,2810664,47484
102,Armenia,2014,37.00999999999999,2803029,49704
103,Armenia,2015,45.28,2795335,45300
104,Armenia,2016,40.56000000000001,2400033,37880
105,Aruba,1995,308.51,73581,215388
106,Aruba,1999,115.47000000000001,81934,252324
107,Aruba,2000,305.33,83888,267996
108,Aruba,2001,27.28,86045,267804
109,Aruba,2002,126.46000000000002,88284,263844
110,Aruba,2003,12.93,90457,268140
111,Aruba,2004,176.71999999999997,92335,289596
112,Aruba,2005,99.57999999999998,93728,298440
113,Aruba,2006,96.31,94508,307464
114,Aruba,2007,92.19000000000001,94814,332064
115,Aruba,2008,41.440000000000005,94814,353364
116,Aruba,2009,42.230000000000004,94795,316332
117,Aruba,2010,58.65,95006,311688
118,Aruba,2011,93.42,95488,324792
119,Australia,1985,163.41,14562500,148488
120,Australia,1986,175.79000000000002,14809800,147456
121,Australia,1987,188.82000000000005,15046500,150768
122,Australia,1988,179.32,15312100,184716
123,Australia,1989,168.11,15570600,230676
124,Australia,1990,172.34999999999997,15807000,235980
125,Australia,1991,180.15000000000003,16012100,243840
126,Australia,1992,170.64000000000004,16203500,240600
127,Australia,1993,154.94999999999996,16370000,228360
128,Australia,1994,167.75,16549400,233628
129,Australia,1995,155.19,16766300,262824
130,Australia,1996,175.33999999999997,17015100,282312
131,Australia,1997,186.93000000000006,17221300,302808
132,Australia,1998,176.41000000000003,17421730,274764
133,Australia,1999,167.14999999999998,17641702,264192
134,Australia,2000,157.82000000000005,17874410,278628
135,Australia,2001,158.79000000000002,18130883,250320
136,Australia,2002,144.68,18370058,257688
137,Australia,2003,133.84,18608029,300708
138,Australia,2004,133.76000000000002,18854551,389448
139,Australia,2006,127.89000000000001,19109246,468168
140,Australia,2007,130.25,19734430,518052
141,Australia,2008,130.48999999999998,20120312,627780
142,Australia,2009,130.12,20529317,541536
143,Australia,2010,132.64000000000001,20847547,658644
144,Australia,2011,133.21999999999997,20881910,801240
145,Australia,2012,139.57,21238909,872028
146,Australia,2013,138.78,21600180,874272
147,Australia,2014,149.07,21927587,801708
148,Australia,2015,154.18000000000004,22240785,727872
149,Austria,1985,384.81,7110115,117108
150,Austria,1986,401.79999999999995,7119149,166932
151,Austria,1987,405.88,7130006,208980
152,Austria,1988,357.64,7144410,223956
153,Austria,1989,359.32,7177666,222528
154,Austria,1990,353.78,7231353,276240
155,Austria,1991,355.4700000000001,7299728,285696
156,Austria,1992,341.74000000000007,7375368,317400
157,Austria,1993,347.9599999999999,7433569,307332
158,Austria,1994,343.61999999999995,7462552,327288
159,Austria,1995,348.0899999999999,7477030,386844
160,Austria,1996,342.65,7493706,379920
161,Austria,1997,297.5000000000001,7512589,339900
162,Austria,1998,289.38,7533519,347664
163,Austria,1999,280.3,7561609,344664
164,Austria,2000,289.77,7592073,311064
165,Austria,2001,261.90999999999997,7634560,310176
166,Austria,2002,276.92,7683162,333264
167,Austria,2003,257.06,7722033,406668
168,Austria,2004,254.04,7773105,464532
169,Austria,2005,235.24999999999997,7827461,484404
170,Austria,2006,218.89999999999995,7869269,512376
171,Austria,2007,217.31,7897272,590616
172,Austria,2008,216.45000000000002,7925258,651528
173,Austria,2009,213.22,7946894,604272
174,Austria,2010,207.55000000000004,7968421,590172
175,Austria,2011,211.49,7995146,647076
176,Austria,2012,206.63,8031276,611748
177,Austria,2013,212.12,8079615,638748
178,Austria,2014,209.81999999999996,8141165,651336
179,Austria,2015,194.62,8219386,557808
180,Austria,2016,183.23,7484629,469760
181,Azerbaijan,1990,24.609999999999996,6156800,17268
182,Azerbaijan,1991,32.230000000000004,6290600,16776
183,Azerbaijan,1992,34.78000000000001,6370400,9408
184,Azerbaijan,1993,31.519999999999996,6442600,7404
185,Azerbaijan,1994,12.040000000000001,6521200,6096
186,Azerbaijan,1995,14.280000000000001,6605900,5544
187,Azerbaijan,1996,17.830000000000002,6668100,5712
188,Azerbaijan,1997,18.59,6711200,7080
189,Azerbaijan,1998,10.669999999999998,7044400,7572
190,Azerbaijan,1999,8.58,7106400,7740
191,Azerbaijan,2000,14.410000000000002,7415250,8532
192,Azerbaijan,2001,60.050000000000004,7518000,9108
193,Azerbaijan,2002,19.419999999999998,7605700,9840
194,Azerbaijan,2003,27.07,7674400,11376
195,Azerbaijan,2004,18.33,7738250,13464
196,Azerbaijan,2007,11.830000000000002,7921100,50064
197,Bahamas,1985,4.76,203700,136716
198,Bahamas,1987,13.59,220900,147432
199,Bahamas,1993,37.51,243500,152376
200,Bahamas,1994,10.6,249300,156876
201,Bahamas,1995,7.16,254500,161676
202,Bahamas,1996,9.82,252438,171564
203,Bahamas,1997,7.15,255956,296880
204,Bahamas,1998,11.09,260125,315228
205,Bahamas,1999,22.959999999999997,264791,348228
206,Bahamas,2000,40.660000000000004,269738,359304
207,Bahamas,2001,2.68,276140,361464
208,Bahamas,2002,9.969999999999999,282555,377184
209,Bahamas,2003,2.49,288888,368448
210,Bahamas,2004,5.93,295237,368052
211,Bahamas,2005,13.32,301763,391152
212,Bahamas,2006,5.640000000000001,308499,395484
213,Bahamas,2007,13.420000000000002,314989,404520
214,Bahamas,2008,12.490000000000002,321447,392952
215,Bahamas,2009,15.98,327813,365400
216,Bahamas,2010,58.32,333869,362868
217,Bahamas,2011,12.989999999999998,338383,357132
218,Bahamas,2012,11.84,343558,374448
219,Bahamas,2013,13.91,348959,365460
220,Bahrain,1985,20.119999999999997,365900,119760
221,Bahrain,1987,25.680000000000003,363900,111852
222,Bahrain,1988,24.8,389700,114012
223,Bahrain,1997,0.0,529754,143820
224,Bahrain,1998,0.0,546008,135900
225,Bahrain,1999,22.459999999999997,565762,140436
226,Bahrain,2000,32.73,590594,184140
227,Bahrain,2001,30.659999999999993,624083,172596
228,Bahrain,2002,27.68,661010,174864
229,Bahrain,2003,32.39,702913,189072
230,Bahrain,2004,54.21000000000001,751559,209964
231,Bahrain,2005,40.22,819540,233820
232,Bahrain,2006,27.18,888543,249912
233,Bahrain,2007,32.09,964770,270288
