,country,continent,year,suicides_rate,population,gdp_per_capita,hdi
0,Albania,Europe,1987,31.85,2709600,9552,0.0
1,Albania,Europe,1988,32.46,2764300,9228,0.0
2,Albania,Europe,1989,33.4,2803100,9996,0.0
3,Albania,Europe,1992,18.0,2822500,3012,0.0
4,Albania,Europe,1993,32.56,2807300,5244,0.0
5,Albania,Europe,1994,32.18,2849300,8364,0.0
6,Albania,Europe,1995,40.55,2903400,10020,7.427999999999998
7,Albania,Europe,1996,43.62,2940200,13524,0.0
8,Albania,Europe,1997,77.43,2977300,9516,0.0
9,Albania,Europe,1998,66.52,3012700,10788,0.0
10,Albania,Europe,1999,69.81,3029700,13524,0.0
11,Albania,Europe,2000,30.7,2796300,15588,7.871999999999997
12,Albania,Europe,2001,50.62,2799349,17412,0.0
13,Albania,Europe,2002,62.51,2818839,18876,0.0
14,Albania,Europe,2003,58.6,2843929,24252,0.0
15,Albania,Europe,2004,65.39,2874991,30528,0.0
16,Albania,Europe,2005,0.0,2783320,35172,8.340000000000002
17,Albania,Europe,2006,0.0,2780176,38820,0.0
18,Albania,Europe,2007,65.85,2770344,46356,0.0
19,Albania,Europe,2008,71.05,2757059,56064,0.0
20,Albania,Europe,2009,0.0,2745735,52644,0.0
21,Albania,Europe,2010,41.66,2736025,52308,8.663999999999998
22,Antigua and Barbuda,North America,1985,0.0,62574,46200,0.0
23,Antigua and Barbuda,North America,1986,0.0,61270,56880,0.0
24,Antigua and Barbuda,North America,1987,0.0,60261,67140,0.0
25,Antigua and Barbuda,North America,1988,0.0,59564,80316,0.0
26,Antigua and Barbuda,North America,1989,0.0,59238,88884,0.0
27,Antigua and Barbuda,North America,1990,17.24,59334,92928,0.0
28,Antigua and Barbuda,North America,1991,0.0,60394,95712,0.0
29,Antigua and Barbuda,North America,1992,0.0,61741,97044,0.0
30,Antigua and Barbuda,North America,1993,15.0,63315,101436,0.0
31,Antigua and Barbuda,North America,1994,0.0,65044,108744,0.0
32,Antigua and Barbuda,North America,1995,0.0,66846,103632,0.0
33,Antigua and Barbuda,North America,1998,0.0,72225,120936,0.0
34,Antigua and Barbuda,North America,1999,0.0,73832,124536,0.0
35,Antigua and Barbuda,North America,2000,39.97,75326,132252,0.0
36,Antigua and Barbuda,North America,2001,19.45,76497,125616,0.0
37,Antigua and Barbuda,North America,2002,0.0,77588,125988,0.0
38,Antigua and Barbuda,North America,2003,27.82,78658,130536,0.0
39,Antigua and Barbuda,North America,2004,36.06,79722,138420,0.0
40,Antigua and Barbuda,North America,2005,0.0,80809,151788,0.0
41,Antigua and Barbuda,North America,2006,0.0,81973,169368,0.0
42,Antigua and Barbuda,North America,2007,7.98,83131,189300,0.0
43,Antigua and Barbuda,North America,2008,0.0,84273,194856,0.0
44,Antigua and Barbuda,North America,2009,0.0,85405,172020,0.0
45,Antigua and Barbuda,North America,2012,0.0,88703,163884,9.371999999999998
46,Antigua and Barbuda,North America,2013,0.0,89779,159444,9.371999999999998
47,Antigua and Barbuda,North America,2014,0.0,90837,169116,9.395999999999997
48,Antigua and Barbuda,North America,2015,15.62,91889,178236,0.0
49,Argentina,South America,1985,134.47,27090800,39168,8.328000000000001
50,Argentina,South America,1986,152.9,27244400,48864,0.0
51,Argentina,South America,1987,144.98,27599400,48312,0.0
52,Argentina,South America,1988,146.24,28308000,53496,0.0
53,Argentina,South America,1989,138.93,28702000,32040,0.0
54,Argentina,South America,1990,134.9,29091100,58308,8.459999999999999
55,Argentina,South America,1991,119.24,29623000,76848,0.0
56,Argentina,South America,1992,126.86,30045400,91380,0.0
57,Argentina,South America,1993,134.77,30477500,93216,0.0
58,Argentina,South America,1994,122.05,30911200,99936,0.0
59,Argentina,South America,1995,119.97,31345400,98784,8.772
60,Argentina,South America,1996,118.03,31780700,102756,0.0
61,Argentina,South America,1997,111.4,32333781,108684,0.0
62,Argentina,South America,1998,116.93,32757259,109512,0.0
63,Argentina,South America,1999,117.19,33174862,102552,0.0
64,Argentina,South America,2000,131.39,33585533,101544,9.144000000000002
65,Argentina,South America,2001,143.56,34010946,94800,0.0
66,Argentina,South America,2002,139.42,34407507,34080,0.0
67,Argentina,South America,2003,146.29,34785907,44016,0.0
68,Argentina,South America,2004,131.06,35162945,56196,0.0
69,Argentina,South America,2005,128.18,35550617,67080,9.300000000000002
70,Argentina,South America,2006,128.22,35918886,77700,0.0
71,Argentina,South America,2007,118.35,36315492,95016,0.0
72,Argentina,South America,2008,118.11,36733520,118116,0.0
73,Argentina,South America,2009,107.32,37158001,107532,0.0
74,Argentina,South America,2010,111.24,37578454,135276,9.732
75,Argentina,South America,2011,105.87,38015739,167352,9.815999999999997
76,Argentina,South America,2012,119.82,38441778,170436,9.971999999999996
77,Argentina,South America,2013,103.42,38859125,170472,9.996
78,Argentina,South America,2014,111.35,39276555,160800,10.032000000000002
79,Argentina,South America,2015,112.13,39699624,179772,0.0
80,Armenia,Asia,1990,41.12,2983700,9072,7.583999999999999
81,Armenia,Asia,1991,45.87,3230800,7680,0.0
82,Armenia,Asia,1992,40.86,3308700,4620,0.0
83,Armenia,Asia,1993,51.05,3366600,4284,0.0
84,Armenia,Asia,1994,66.73,3402500,4644,0.0
85,Armenia,Asia,1995,51.79,3443200,5112,7.260000000000002
86,Armenia,Asia,1996,37.05,3486300,5496,0.0
87,Armenia,Asia,1997,32.23,3526700,5580,0.0
88,Armenia,Asia,1998,27.42,3558000,6384,0.0
89,Armenia,Asia,1999,24.68,3580700,6180,0.0
90,Armenia,Asia,2000,34.3,3606500,6360,7.775999999999999
91,Armenia,Asia,2001,29.78,3610516,7044,0.0
92,Armenia,Asia,2002,38.07,3014844,9456,0.0
93,Armenia,Asia,2003,33.43,3024366,11136,0.0
94,Armenia,Asia,2006,43.67,2764396,27720,0.0
95,Armenia,Asia,2007,39.02,2735313,40392,0.0
96,Armenia,Asia,2008,35.15,3045391,45948,0.0
97,Armenia,Asia,2009,33.7,2689695,38580,0.0
98,Armenia,Asia,2010,40.41,2676225,41520,8.652
99,Armenia,Asia,2011,32.98,2670366,45576,8.676
100,Armenia,Asia,2012,36.57,2814300,45276,8.735999999999999
101,Armenia,Asia,2013,37.48,2810664,47484,8.772
102,Armenia,Asia,2014,37.01,2803029,49704,8.796
103,Armenia,Asia,2015,45.28,2795335,45300,0.0
104,Armenia,Asia,2016,40.56,2400033,37880,0.0
105,Aruba,South America,1995,308.51,73581,215388,0.0
106,Aruba,South America,1999,115.47,81934,252324,0.0
107,Aruba,South America,2000,305.33,83888,267996,0.0
108,Aruba,South America,2001,27.28,86045,267804,0.0
109,Aruba,South America,2002,126.46,88284,263844,0.0
110,Aruba,South America,2003,12.93,90457,268140,0.0
111,Aruba,South America,2004,176.72,92335,289596,0.0
112,Aruba,South America,2005,99.58,93728,298440,0.0
113,Aruba,South America,2006,96.31,94508,307464,0.0
114,Aruba,South America,2007,92.19,94814,332064,0.0
115,Aruba,South America,2008,41.44,94814,353364,0.0
116,Aruba,South America,2009,42.23,94795,316332,0.0
117,Aruba,South America,2010,58.65,95006,311688,0.0
118,Aruba,South America,2011,93.42,95488,324792,0.0
119,Australia,Oceania,1985,163.41,14562500,148488,0.0
120,Australia,Oceania,1986,175.79,14809800,147456,0.0
121,Australia,Oceania,1987,188.82,15046500,150768,0.0
122,Australia,Oceania,1988,179.32,15312100,184716,0.0
123,Australia,Oceania,1989,168.11,15570600,230676,0.0
124,Australia,Oceania,1990,172.35,15807000,235980,10.38
125,Australia,Oceania,1991,180.15,16012100,243840,0.0
126,Australia,Oceania,1992,170.64,16203500,240600,0.0
127,Australia,Oceania,1993,154.95,16370000,228360,0.0
128,Australia,Oceania,1994,167.75,16549400,233628,0.0
129,Australia,Oceania,1995,155.19,16766300,262824,10.583999999999998
130,Australia,Oceania,1996,175.34,17015100,282312,0.0
131,Australia,Oceania,1997,186.93,17221300,302808,0.0
132,Australia,Oceania,1998,176.41,17421730,274764,0.0
133,Australia,Oceania,1999,167.15,17641702,264192,0.0
134,Australia,Oceania,2000,157.82,17874410,278628,10.775999999999998
135,Australia,Oceania,2001,158.79,18130883,250320,0.0
136,Australia,Oceania,2002,144.68,18370058,257688,0.0
137,Australia,Oceania,2003,133.84,18608029,300708,0.0
138,Australia,Oceania,2004,133.76,18854551,389448,0.0
139,Australia,Oceania,2006,127.89,19109246,468168,0.0
140,Australia,Oceania,2007,130.25,19734430,518052,0.0
141,Australia,Oceania,2008,130.49,20120312,627780,0.0
