,year,sex,suicides_rate,population,gdp_per_capita,HDI for year
0,1985.0,female,1663.7499999999993,2709600,9552,0.0
1,1985.0,male,5148.139999999999,2764300,9228,0.0
2,1986.0,female,1674.049999999999,2803100,9996,0.0
3,1986.0,male,4905.789999999998,2822500,3012,0.0
4,1987.0,female,1857.2099999999991,2807300,5244,0.0
5,1987.0,male,5688.2400000000025,2849300,8364,0.0
6,1988.0,female,1859.080000000001,2903400,10020,7.427999999999998
7,1988.0,male,5614.05,2940200,13524,0.0
8,1989.0,female,1927.1700000000008,2977300,9516,0.0
9,1989.0,male,6109.370000000002,3012700,10788,0.0
10,1990.0,female,2268.2899999999995,3029700,13524,0.0
11,1990.0,male,7610.460000000001,2796300,15588,7.871999999999997
12,1991.0,female,2314.7400000000007,2799349,17412,0.0
13,1991.0,male,8006.319999999999,2818839,18876,0.0
14,1992.0,female,2437.37,2843929,24252,0.0
15,1992.0,male,8091.510000000002,2874991,30528,0.0
16,1993.0,female,2352.189999999999,2783320,35172,8.340000000000002
17,1993.0,male,8438.1,2780176,38820,0.0
18,1994.0,female,2545.93,2770344,46356,0.0
19,1994.0,male,8937.860000000008,2757059,56064,0.0
20,1995.0,female,3004.599999999998,2745735,52644,0.0
21,1995.0,male,11655.659999999998,2736025,52308,8.663999999999998
22,1996.0,female,2917.2400000000016,62574,46200,0.0
23,1996.0,male,11224.97,61270,56880,0.0
24,1997.0,female,2774.1899999999987,60261,67140,0.0
25,1997.0,male,11043.640000000005,59564,80316,0.0
26,1998.0,female,2881.7499999999964,59238,88884,0.0
27,1998.0,male,11268.970000000005,59334,92928,0.0
28,1999.0,female,2922.15,60394,95712,0.0
29,1999.0,male,11551.759999999997,61741,97044,0.0
30,2000.0,female,2984.030000000002,63315,101436,0.0
31,2000.0,male,11403.419999999996,65044,108744,0.0
32,2001.0,female,2899.7400000000025,66846,103632,0.0
33,2001.0,male,11376.470000000003,72225,120936,0.0
34,2002.0,female,2892.7499999999973,73832,124536,0.0
35,2002.0,male,11334.970000000003,75326,132252,0.0
36,2003.0,female,2736.03,76497,125616,0.0
37,2003.0,male,10891.549999999996,77588,125988,0.0
38,2004.0,female,2547.2800000000016,78658,130536,0.0
39,2004.0,male,10034.52,79722,138420,0.0
40,2005.0,female,2523.830000000001,80809,151788,0.0
41,2005.0,male,9641.16000000002,81973,169368,0.0
42,2006.0,female,2432.22,83131,189300,0.0
43,2006.0,male,9733.79,84273,194856,0.0
44,2007.0,female,2576.909999999999,85405,172020,0.0
45,2007.0,male,9833.240000000005,88703,163884,9.371999999999998
46,2008.0,female,2539.5,89779,159444,9.371999999999998
47,2008.0,male,9606.339999999995,90837,169116,9.395999999999997
48,2009.0,female,2418.0799999999995,91889,178236,0.0
49,2009.0,male,9757.960000000006,27090800,39168,8.328000000000001
50,2010.0,female,2326.430000000001,27244400,48864,0.0
51,2010.0,male,9517.560000000007,27599400,48312,0.0
52,2011.0,female,2241.6699999999987,28308000,53496,0.0
53,2011.0,male,9126.17000000001,28702000,32040,0.0
54,2012.0,female,2197.5099999999993,29091100,58308,8.459999999999999
55,2012.0,male,8904.399999999987,29623000,76848,0.0
56,2013.0,female,2095.780000000003,30045400,91380,0.0
57,2013.0,male,8567.859999999999,30477500,93216,0.0
58,2014.0,female,2086.72,30911200,99936,0.0
59,2014.0,male,8220.010000000006,31345400,98784,8.772
60,2015.0,female,1731.0900000000004,31780700,102756,0.0
61,2015.0,male,6522.900000000002,32333781,108684,0.0
62,2016.0,female,385.48999999999995,32757259,109512,0.0
63,2016.0,male,1761.8999999999999,33174862,102552,0.0
64,,,,33585533,101544,9.144000000000002
65,,,,34010946,94800,0.0
66,,,,34407507,34080,0.0
67,,,,34785907,44016,0.0
68,,,,35162945,56196,0.0
69,,,,35550617,67080,9.300000000000002
70,,,,35918886,77700,0.0
71,,,,36315492,95016,0.0
72,,,,36733520,118116,0.0
73,,,,37158001,107532,0.0
74,,,,37578454,135276,9.732
75,,,,38015739,167352,9.815999999999997
76,,,,38441778,170436,9.971999999999996
77,,,,38859125,170472,9.996
78,,,,39276555,160800,10.032000000000002
79,,,,39699624,179772,0.0
80,,,,2983700,9072,7.583999999999999
81,,,,3230800,7680,0.0
82,,,,3308700,4620,0.0
83,,,,3366600,4284,0.0
84,,,,3402500,4644,0.0
85,,,,3443200,5112,7.260000000000002
86,,,,3486300,5496,0.0
87,,,,3526700,5580,0.0
88,,,,3558000,6384,0.0
89,,,,3580700,6180,0.0
90,,,,3606500,6360,7.775999999999999
91,,,,3610516,7044,0.0
92,,,,3014844,9456,0.0
93,,,,3024366,11136,0.0
94,,,,2764396,27720,0.0
95,,,,2735313,40392,0.0
96,,,,3045391,45948,0.0
97,,,,2689695,38580,0.0
98,,,,2676225,41520,8.652
99,,,,2670366,45576,8.676
100,,,,2814300,45276,8.735999999999999
101,,,,2810664,47484,8.772
102,,,,2803029,49704,8.796
103,,,,2795335,45300,0.0
104,,,,2400033,37880,0.0
105,,,,73581,215388,0.0
106,,,,81934,252324,0.0
107,,,,83888,267996,0.0
108,,,,86045,267804,0.0
109,,,,88284,263844,0.0
110,,,,90457,268140,0.0
111,,,,92335,289596,0.0
112,,,,93728,298440,0.0
113,,,,94508,307464,0.0
114,,,,94814,332064,0.0
115,,,,94814,353364,0.0
116,,,,94795,316332,0.0
117,,,,95006,311688,0.0
118,,,,95488,324792,0.0
119,,,,14562500,148488,0.0
120,,,,14809800,147456,0.0
121,,,,15046500,150768,0.0
122,,,,15312100,184716,0.0
123,,,,15570600,230676,0.0
124,,,,15807000,235980,10.38
125,,,,16012100,243840,0.0
126,,,,16203500,240600,0.0
127,,,,16370000,228360,0.0
128,,,,16549400,233628,0.0
129,,,,16766300,262824,10.583999999999998
130,,,,17015100,282312,0.0
131,,,,17221300,302808,0.0
132,,,,17421730,274764,0.0
133,,,,17641702,264192,0.0
134,,,,17874410,278628,10.775999999999998
135,,,,18130883,250320,0.0
136,,,,18370058,257688,0.0
137,,,,18608029,300708,0.0
138,,,,18854551,389448,0.0
139,,,,19109246,468168,0.0
140,,,,19734430,518052,0.0
141,,,,20120312,627780,0.0
142,,,,20529317,541536,0.0
143,,,,20847547,658644,11.123999999999997
144,,,,20881910,801240,11.159999999999998
145,,,,21238909,872028,11.184000000000003
146,,,,21600180,874272,11.196
147,,,,21927587,801708,11.220000000000004
148,,,,22240785,727872,0.0
149,,,,7110115,117108,9.168000000000001
150,,,,7119149,166932,0.0
151,,,,7130006,208980,0.0
152,,,,7144410,223956,0.0
153,,,,7177666,222528,0.0
154,,,,7231353,276240,9.528000000000002
155,,,,7299728,285696,0.0
156,,,,7375368,317400,0.0
157,,,,7433569,307332,0.0
158,,,,7462552,327288,0.0
159,,,,7477030,386844,9.779999999999996
160,,,,7493706,379920,0.0
161,,,,7512589,339900,0.0
162,,,,7533519,347664,0.0
163,,,,7561609,344664,0.0
164,,,,7592073,311064,10.032000000000002
165,,,,7634560,310176,0.0
166,,,,7683162,333264,0.0
167,,,,7722033,406668,0.0
168,,,,7773105,464532,0.0
169,,,,7827461,484404,10.235999999999999
170,,,,7869269,512376,0.0
171,,,,7897272,590616,0.0
172,,,,7925258,651528,0.0
173,,,,7946894,604272,0.0
174,,,,7968421,590172,10.547999999999996
175,,,,7995146,647076,10.572000000000001
176,,,,8031276,611748,10.608000000000002
177,,,,8079615,638748,10.608000000000002
178,,,,8141165,651336,10.62
179,,,,8219386,557808,0.0
180,,,,7484629,469760,0.0
181,,,,6156800,17268,0.0
182,,,,6290600,16776,0.0
183,,,,6370400,9408,0.0
184,,,,6442600,7404,0.0
185,,,,6521200,6096,0.0
186,,,,6605900,5544,7.308
187,,,,6668100,5712,0.0
188,,,,6711200,7080,0.0
189,,,,7044400,7572,0.0
190,,,,7106400,7740,0.0
191,,,,7415250,8532,7.679999999999999
192,,,,7518000,9108,0.0
193,,,,7605700,9840,0.0
194,,,,7674400,11376,0.0
195,,,,7738250,13464,0.0
196,,,,7921100,50064,0.0
197,,,,203700,136716,0.0
198,,,,220900,147432,0.0
199,,,,243500,152376,0.0
200,,,,249300,156876,0.0
201,,,,254500,161676,0.0
202,,,,252438,171564,0.0
203,,,,255956,296880,0.0
204,,,,260125,315228,0.0
205,,,,264791,348228,0.0
206,,,,269738,359304,9.336000000000002
207,,,,276140,361464,0.0
208,,,,282555,377184,0.0
209,,,,288888,368448,0.0
210,,,,295237,368052,0.0
211,,,,301763,391152,9.360000000000001
212,,,,308499,395484,0.0
213,,,,314989,404520,0.0
214,,,,321447,392952,0.0
215,,,,327813,365400,0.0
216,,,,333869,362868,9.288
217,,,,338383,357132,9.336000000000002
218,,,,343558,374448,9.395999999999997
219,,,,348959,365460,9.431999999999997
220,,,,365900,119760,8.724000000000002
221,,,,363900,111852,0.0
222,,,,389700,114012,0.0
223,,,,529754,143820,0.0
224,,,,546008,135900,0.0
225,,,,565762,140436,0.0
226,,,,590594,184140,9.528000000000002
227,,,,624083,172596,0.0
228,,,,661010,174864,0.0
229,,,,702913,189072,0.0
230,,,,751559,209964,0.0
231,,,,819540,233820,9.792000000000002
232,,,,888543,249912,0.0
233,,,,964770,270288,0.0
234,,,,1024110,301272,0.0
235,,,,1092922,251856,0.0
236,,,,1139160,270864,9.828000000000003
237,,,,1103462,312936,9.804
238,,,,1201778,307044,9.828000000000003
239,,,,1214492,321516,9.851999999999999
240,,,,1213966,330036,9.888
241,,,,231000,73644,8.4
242,,,,231600,80640,0.0
243,,,,233700,87996,0.0
244,,,,234800,93156,0.0
245,,,,236000,102492,0.0
246,,,,237000,102444,8.592
247,,,,237000,101628,0.0
248,,,,240000,97548,0.0
249,,,,239600,102480,0.0
250,,,,240300,107436,0.0
251,,,,241200,112536,8.772
252,,,,251133,149160,9.036
253,,,,252406,148176,0.0
254,,,,253353,150132,0.0
255,,,,254122,154644,0.0
256,,,,254925,165432,0.0
257,,,,255889,182760,9.18
258,,,,256883,198372,0.0
259,,,,258083,210336,0.0
260,,,,259414,213120,0.0
261,,,,260718,204084,0.0
262,,,,261927,204408,9.360000000000001
263,,,,263203,212496,9.431999999999997
264,,,,264270,211440,9.516
265,,,,265165,208740,9.42
266,,,,9408800,27612,0.0
267,,,,9476200,22788,0.0
268,,,,9570900,21360,0.0
269,,,,9641100,20268,0.0
270,,,,9653900,18564,0.0
271,,,,9673600,17328,0.0
272,,,,9684800,18288,0.0
273,,,,9692100,17496,0.0
274,,,,9694800,18840,0.0
275,,,,9563200,15228,0.0
276,,,,9543479,16020,8.196
277,,,,9513587,15588,0.0
278,,,,9469234,18492,0.0
279,,,,9420691,22704,0.0
280,,,,9244456,58776,0.0
281,,,,9205746,79212,0.0
282,,,,9169969,64392,0.0
283,,,,8981193,76452,9.431999999999997
284,,,,8947320,82824,9.516
285,,,,8910240,101724,9.552
286,,,,8906977,106188,9.575999999999999
287,,,,9269600,112272,9.288
288,,,,9287100,155904,0.0
289,,,,9291300,193980,0.0
290,,,,9319300,210108,0.0
291,,,,9349200,211908,0.0
292,,,,9369700,264384,9.671999999999997
293,,,,9396600,270276,0.0
294,,,,9428100,300432,0.0
295,,,,9462900,286500,0.0
296,,,,9497400,311064,0.0
297,,,,9527100,364728,10.212
298,,,,9557545,353256,0.0
299,,,,9576223,319308,0.0
300,,,,9620997,325044,0.0
301,,,,9648277,323628,0.0
302,,,,9674025,295104,10.488000000000005
303,,,,9710055,293928,0.0
304,,,,9758570,318312,0.0
305,,,,9804122,390456,0.0
306,,,,9848022,451932,0.0
307,,,,9901014,469488,10.391999999999998
308,,,,9962702,493620,0.0
309,,,,10030266,564480,0.0
310,,,,10100850,616140,0.0
311,,,,10173366,571560,0.0
312,,,,10211171,568260,10.596
313,,,,10355126,610716,10.631999999999998
314,,,,10442637,572136,10.668
315,,,,10526149,593868,10.656
316,,,,10578848,602076,10.680000000000001
317,,,,10624356,513960,0.0
318,,,,146800,18624,0.0
319,,,,144069,23040,0.0
320,,,,153088,28464,0.0
321,,,,158000,31368,7.728000000000001
322,,,,162200,32904,0.0
323,,,,170800,39336,0.0
324,,,,170874,40788,0.0
325,,,,180500,41232,7.967999999999999
326,,,,180926,42540,0.0
327,,,,187650,41844,0.0
328,,,,195108,42372,0.0
329,,,,202699,43380,0.0
330,,,,210109,47520,8.196
331,,,,217279,48156,0.0
332,,,,224136,49932,0.0
333,,,,230890,51468,0.0
334,,,,237791,53388,0.0
335,,,,245020,54564,8.411999999999997
336,,,,252826,57780,0.0
337,,,,260667,59412,0.0
338,,,,268487,61176,0.0
339,,,,276189,58092,0.0
340,,,,283796,59076,8.52
341,,,,291662,61176,8.532000000000002
342,,,,298946,63168,8.592
343,,,,305888,63264,8.58
344,,,,312780,65376,8.58
345,,,,319835,66732,0.0
346,,,,3673312,60912,8.688
347,,,,3654169,60948,8.796
348,,,,117478900,22776,6.912000000000003
349,,,,118776400,27084,0.0
350,,,,122822467,28728,0.0
351,,,,125701294,31536,0.0
352,,,,128570308,39720,0.0
353,,,,131387553,42192,7.2959999999999985
354,,,,134281850,53880,0.0
355,,,,137007021,35088,0.0
356,,,,139615477,37632,0.0
357,,,,142188450,47100,0.0
358,,,,144783591,63756,7.775999999999999
359,,,,147353130,69252,0.0
360,,,,149932627,70692,0.0
361,,,,152524311,67956,0.0
362,,,,155122073,46368,0.0
363,,,,157715991,49872,8.196
364,,,,160178796,41904,0.0
365,,,,162761414,37452,0.0
366,,,,165396911,40512,0.0
367,,,,167993068,47808,0.0
368,,,,170483960,62760,8.424000000000001
369,,,,172974722,76836,0.0
370,,,,175293192,95640,0.0
371,,,,177471632,114660,0.0
372,,,,179569551,111396,0.0
373,,,,181629712,145932,8.844
374,,,,183656441,170940,8.904
375,,,,185591215,159396,8.952000000000002
376,,,,187458852,158292,9.024
377,,,,189285554,155700,9.06
378,,,,191087085,113172,0.0
379,,,,8392500,24528,8.232
380,,,,8391500,28956,0.0
381,,,,8375400,40260,0.0
382,,,,8389800,32256,0.0
383,,,,8403200,31404,0.0
384,,,,8418500,29412,8.340000000000002
385,,,,8431900,15576,0.0
386,,,,8041500,15444,0.0
387,,,,8001000,16248,0.0
388,,,,7995500,14556,0.0
389,,,,7983900,19632,8.351999999999999
390,,,,7963300,15240,0.0
391,,,,7933900,16932,0.0
392,,,,7899500,22224,0.0
393,,,,7866600,20580,0.0
394,,,,7829095,20160,8.556
395,,,,7591926,22248,0.0
396,,,,7544410,25884,0.0
397,,,,7493166,33600,0.0
398,,,,7447563,41820,0.0
399,,,,7404051,48036,8.988000000000003
400,,,,7358508,55656,0.0
401,,,,7312474,72876,0.0
402,,,,7267511,89844,0.0
403,,,,7219817,86232,0.0
404,,,,7162740,84792,9.275999999999998
405,,,,7056527,97644,9.300000000000002
406,,,,6959652,92940,9.336000000000002
407,,,,6920644,96684,9.348
408,,,,6883874,98892,9.384
409,,,,452179,49488,0.0
410,,,,23499900,186264,9.924000000000001
411,,,,23499100,192744,0.0
412,,,,23798100,217488,0.0
413,,,,24080600,252828,0.0
414,,,,24368400,278256,0.0
415,,,,24704400,288492,10.188
416,,,,25390400,288456,0.0
417,,,,26454400,268716,0.0
418,,,,26944700,257052,0.0
419,,,,27246000,254628,0.0
420,,,,27618500,262452,10.332
421,,,,27706600,272232,0.0
422,,,,28085100,278940,0.0
423,,,,28372536,267216,0.0
424,,,,28681643,282864,0.0
425,,,,29008565,307068,10.404
426,,,,29262055,301980,0.0
427,,,,29642114,306840,0.0
428,,,,29958833,357444,0.0
429,,,,30283966,405444,0.0
430,,,,30597090,458616,10.703999999999999
431,,,,30902962,510792,0.0
432,,,,31242631,562680,0.0
433,,,,31588641,588492,0.0
434,,,,31937357,515196,0.0
435,,,,32286140,599688,10.836000000000004
436,,,,32615418,658092,10.908000000000001
437,,,,32961196,664164,10.92
438,,,,33314836,663720,10.944000000000003
439,,,,10675400,19896,7.848
440,,,,10931700,20736,0.0
441,,,,11209000,23820,0.0
442,,,,11306000,27636,0.0
443,,,,11501000,31188,0.0
444,,,,11709000,33936,8.388
445,,,,11871000,38244,0.0
446,,,,12125000,45492,0.0
447,,,,12306400,48072,0.0
448,,,,12526600,54612,0.0
449,,,,12897643,68340,8.676
450,,,,13125089,71352,0.0
451,,,,13339550,76416,0.0
452,,,,13543940,72276,0.0
453,,,,13743882,65640,0.0
454,,,,13943575,67008,9.024
455,,,,14139590,60240,0.0
456,,,,14332840,58392,0.0
457,,,,14523758,62496,0.0
458,,,,14710993,80928,0.0
459,,,,14893574,99072,9.456000000000001
460,,,,15071596,123240,0.0
461,,,,15245435,136644,0.0
462,,,,15415661,139836,0.0
463,,,,15584149,132744,0.0
464,,,,15751851,166488,9.768
465,,,,15910783,190248,9.851999999999999
466,,,,16075247,199404,9.924000000000001
467,,,,16242244,205680,9.959999999999999
468,,,,16406867,190596,9.984000000000002
469,,,,16565725,176748,0.0
470,,,,25052400,16716,6.876000000000001
471,,,,25585600,16392,0.0
472,,,,28009432,15588,0.0
473,,,,28649501,16428,0.0
474,,,,29289829,16200,0.0
475,,,,29930973,16152,7.152
476,,,,30584178,16176,0.0
477,,,,29615400,19968,0.0
478,,,,30242200,22140,0.0
479,,,,30874600,31752,0.0
480,,,,33090899,33552,7.547999999999998
481,,,,33703636,34596,0.0
482,,,,34338825,37272,0.0
483,,,,34987039,33768,0.0
484,,,,35629408,29028,0.0
485,,,,36252342,33060,7.848
486,,,,36884428,31944,0.0
487,,,,37478276,31356,0.0
488,,,,38044513,29868,0.0
489,,,,38604716,36396,0.0
490,,,,39172790,44904,8.148000000000001
491,,,,39708676,49140,0.0
492,,,,40275206,61800,0.0
493,,,,40859129,71652,0.0
494,,,,41436173,67716,0.0
495,,,,41989103,82032,8.471999999999998
496,,,,42538305,94620,8.556
497,,,,43055864,103032,8.58
498,,,,43546298,104772,8.616
499,,,,44021800,103092,8.639999999999999
500,,,,44490427,78624,0.0
501,,,,2236200,25740,7.476000000000002
502,,,,2292900,28668,0.0
503,,,,2400700,29196,0.0
504,,,,2465200,29520,0.0
505,,,,2556000,32232,0.0
506,,,,2627800,33804,7.824000000000001
507,,,,2704000,31812,0.0
508,,,,2778400,36840,0.0
509,,,,2853700,40104,0.0
510,,,,2929100,42744,0.0
511,,,,3135200,44064,8.184000000000003
512,,,,3192446,43668,0.0
513,,,,3279559,45924,0.0
514,,,,3365726,48552,0.0
515,,,,3449923,49380,0.0
516,,,,3531421,50796,8.447999999999999
517,,,,3606850,52944,0.0
518,,,,3680372,53820,0.0
519,,,,3751871,54996,0.0
520,,,,3820857,58200,0.0
521,,,,3887096,61596,8.676
522,,,,3953916,68592,0.0
523,,,,4015241,79932,0.0
524,,,,4072561,90204,0.0
525,,,,4128459,88836,0.0
526,,,,4184663,106872,9.0
527,,,,4235514,119736,9.072000000000001
528,,,,4290210,129984,9.132
529,,,,4347229,137316,9.168000000000001
530,,,,4403674,137820,9.191999999999998
531,,,,4497400,59736,8.328000000000001
532,,,,4220800,67320,0.0
533,,,,4295100,66552,0.0
534,,,,4227900,72180,0.0
535,,,,4283800,65508,0.0
536,,,,4118000,63456,8.988000000000003
537,,,,4180633,66852,0.0
538,,,,4217300,76476,0.0
539,,,,4225600,98424,0.0
540,,,,4229600,117948,0.0
541,,,,4235875,128664,9.384
542,,,,4234946,142968,0.0
543,,,,4230855,170448,0.0
544,,,,4225583,200160,0.0
545,,,,4216050,178464,0.0
546,,,,4203963,170784,9.684000000000003
547,,,,4189029,178680,9.768
548,,,,4054296,167424,9.804
549,,,,4044457,172344,9.804
550,,,,4030452,171588,9.815999999999997
551,,,,4001669,148212,0.0
552,,,,3567043,129050,0.0
553,,,,9915600,26724,0.0
554,,,,10004200,26832,0.0
555,,,,10089300,33840,0.0
556,,,,10168400,35916,7.836000000000002
557,,,,10241600,29316,0.0
558,,,,10260492,29664,0.0
559,,,,10307978,29964,0.0
560,,,,10350039,32892,0.0
561,,,,10397209,35280,8.220000000000002
562,,,,10433428,36444,0.0
563,,,,10479415,38460,0.0
564,,,,10531074,40908,0.0
565,,,,10578701,43332,0.0
566,,,,10616406,48204,8.760000000000002
567,,,,10653638,59412,0.0
568,,,,10678023,65856,0.0
569,,,,10693814,68232,0.0
570,,,,10708230,69564,0.0
571,,,,10725848,71964,9.336000000000002
572,,,,10748034,77028,9.312
573,,,,10770535,81492,9.264000000000001
574,,,,10792690,85776,9.216
575,,,,10813411,89508,9.228
576,,,,10832068,96528,0.0
577,,,,856733,148668,0.0
578,,,,875229,139620,9.6
579,,,,690616,302724,0.0
580,,,,701263,320052,9.959999999999999
581,,,,713426,343200,0.0
582,,,,728566,396576,0.0
583,,,,747034,447204,0.0
584,,,,767174,405792,0.0
585,,,,787081,389724,10.176000000000002
586,,,,800820,410988,10.224000000000002
587,,,,814305,369024,10.224000000000002
588,,,,813016,355488,10.199999999999998
589,,,,804818,348288,10.199999999999998
590,,,,796037,296616,0.0
591,,,,711344,250980,0.0
592,,,,9710900,50016,9.132
593,,,,9667500,36840,0.0
594,,,,9681900,42876,0.0
595,,,,9703400,50232,0.0
596,,,,9723700,58692,0.0
597,,,,9744300,73608,9.42
598,,,,9763900,82332,0.0
599,,,,9786700,75768,0.0
600,,,,9808300,81348,0.0
601,,,,9819215,79272,0.0
602,,,,9819742,75336,9.851999999999999
603,,,,9838083,82356,0.0
604,,,,9752463,100788,0.0
605,,,,9748550,122640,0.0
606,,,,9746647,146712,0.0
607,,,,9761733,167532,10.163999999999996
608,,,,9780319,190752,0.0
609,,,,9818295,231276,0.0
610,,,,9899594,285732,0.0
611,,,,9937407,248976,0.0
612,,,,9945273,250344,10.355999999999996
613,,,,9906318,276120,10.391999999999998
614,,,,9923127,250776,10.404
615,,,,9936780,252876,10.416000000000002
