,country,year,sex,suicides_rate
0,Albania,1987,female,11.350000000000001
1,Albania,1987,male,20.500000000000004
2,Albania,1988,female,13.549999999999999
3,Albania,1988,male,18.91
4,Albania,1989,female,5.52
5,Albania,1989,male,27.88
6,Albania,1992,female,5.12
7,Albania,1992,male,12.88
8,Albania,1993,female,9.759999999999998
9,Albania,1993,male,22.8
10,Albania,1994,female,9.81
11,Albania,1994,male,22.37
12,Albania,1995,female,16.06
13,Albania,1995,male,24.49
14,Albania,1996,female,17.460000000000004
15,Albania,1996,male,26.160000000000004
16,Albania,1997,female,21.28
17,Albania,1997,male,56.150000000000006
18,Albania,1998,female,20.34
19,Albania,1998,male,46.17999999999999
20,Albania,1999,female,25.32
21,Albania,1999,male,44.49
22,Albania,2000,female,10.290000000000001
23,Albania,2000,male,20.41
24,Albania,2001,female,16.400000000000002
25,Albania,2001,male,34.22
26,Albania,2002,female,16.729999999999997
27,Albania,2002,male,45.78000000000001
28,Albania,2003,female,29.2
29,Albania,2003,male,29.4
30,Albania,2004,female,24.54
31,Albania,2004,male,40.85
32,Albania,2005,female,0.0
33,Albania,2005,male,0.0
34,Albania,2006,female,0.0
35,Albania,2006,male,0.0
36,Albania,2007,female,21.86
37,Albania,2007,male,43.989999999999995
38,Albania,2008,female,28.91
39,Albania,2008,male,42.14
40,Albania,2009,female,0.0
41,Albania,2009,male,0.0
42,Albania,2010,female,15.48
43,Albania,2010,male,26.18
44,Antigua and Barbuda,1985,female,0.0
45,Antigua and Barbuda,1985,male,0.0
46,Antigua and Barbuda,1986,female,0.0
47,Antigua and Barbuda,1986,male,0.0
48,Antigua and Barbuda,1987,female,0.0
49,Antigua and Barbuda,1987,male,0.0
50,Antigua and Barbuda,1988,female,0.0
51,Antigua and Barbuda,1988,male,0.0
52,Antigua and Barbuda,1989,female,0.0
53,Antigua and Barbuda,1989,male,0.0
54,Antigua and Barbuda,1990,female,0.0
55,Antigua and Barbuda,1990,male,17.24
56,Antigua and Barbuda,1991,female,0.0
57,Antigua and Barbuda,1991,male,0.0
58,Antigua and Barbuda,1992,female,0.0
59,Antigua and Barbuda,1992,male,0.0
60,Antigua and Barbuda,1993,female,0.0
61,Antigua and Barbuda,1993,male,15.0
62,Antigua and Barbuda,1994,female,0.0
63,Antigua and Barbuda,1994,male,0.0
64,Antigua and Barbuda,1995,female,0.0
65,Antigua and Barbuda,1995,male,0.0
66,Antigua and Barbuda,1998,female,0.0
67,Antigua and Barbuda,1998,male,0.0
68,Antigua and Barbuda,1999,female,0.0
69,Antigua and Barbuda,1999,male,0.0
70,Antigua and Barbuda,2000,female,0.0
71,Antigua and Barbuda,2000,male,39.97
72,Antigua and Barbuda,2001,female,0.0
73,Antigua and Barbuda,2001,male,19.45
74,Antigua and Barbuda,2002,female,0.0
75,Antigua and Barbuda,2002,male,0.0
76,Antigua and Barbuda,2003,female,0.0
77,Antigua and Barbuda,2003,male,27.82
78,Antigua and Barbuda,2004,female,0.0
79,Antigua and Barbuda,2004,male,36.06
80,Antigua and Barbuda,2005,female,0.0
81,Antigua and Barbuda,2005,male,0.0
82,Antigua and Barbuda,2006,female,0.0
83,Antigua and Barbuda,2006,male,0.0
84,Antigua and Barbuda,2007,female,0.0
85,Antigua and Barbuda,2007,male,7.98
